Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage,Transfer Fee
Nick Pope,ENG,Newcastle Utd,GK,33-013,24,24,"2,160",0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.33,70.5,29.2,50.0,N/a,0.0,N/a,N/a,484,72.5,12485,99.0,98.4,42.6,1,2,0,0,1,5,0.21,0,0.0,0,0,0,0,1,0,1,1,747,596,737,10,0,0,0,N/a,N/a,388,1475,0,0,0,0,1,263,0,2,5,0,0,19,11,1,91.7,€11.7M
Nicolas Jackson,SEN,Chelsea,FW,23-316,28,26,"2,114",10,5,7,0,12.2,4.3,46,37,125,0.43,0.21,0.52,0.18,N/a,N/a,N/a,N/a,43.2,1.36,0.14,12.7,291,76.2,3909,81.9,78.0,64.3,28,22,10,1,37,68,2.9,10,0.43,19,11,8,5,13,2,11,3,658,19,46,272,349,137,59,30.5,50.8,401,1293,46,24,30,65,39,490,125,32,29,19,3,44,18,35,34.0,€66.2M
Nicolás Domínguez,ARG,Nott'ham Forest,"MF,FW",26-308,30,19,"1,669",0,1,8,0,1.4,1.3,12,66,26,0.0,0.05,0.08,0.07,N/a,N/a,N/a,N/a,38.9,0.38,0.00,19.0,708,87.0,10227,91.7,89.8,58.3,13,71,9,1,66,32,1.73,0,0.0,75,40,64,35,34,11,23,27,1048,69,268,542,247,25,8,37.5,37.5,394,782,12,11,2,18,9,571,26,29,15,1,5,102,21,19,52.5,€18.8M
Nikola Milenković,SRB,Nott'ham Forest,DF,27-202,33,33,"2,970",4,2,4,0,3.6,0.8,3,49,6,0.12,0.06,0.11,0.03,N/a,N/a,N/a,N/a,26.9,0.21,0.15,12.1,730,80.8,14593,86.9,86.8,60.5,7,48,2,0,49,18,0.55,3,0.09,43,26,27,6,39,23,16,24,1228,231,672,479,81,58,1,100.0,0.0,471,955,3,3,2,2,2,618,6,17,4,1,0,74,92,36,71.9,€38M
Noni Madueke,ENG,Chelsea,FW,23-053,28,23,"1,723",7,3,3,0,8.2,3.9,133,63,208,0.37,0.16,0.43,0.2,N/a,N/a,N/a,N/a,41.1,1.57,0.10,14.6,452,77.5,6706,86.5,76.1,56.4,28,12,33,8,63,72,3.76,8,0.42,22,15,33,20,14,0,14,8,837,18,83,237,531,163,84,42.9,46.4,562,2970,133,43,80,41,24,646,208,20,24,4,58,67,10,15,40.0,€51.6M
Noussair Mazraoui,MAR,Manchester Utd,DF,27-169,34,31,"2,639",0,1,2,0,0.7,1.3,37,102,51,0.0,0.03,0.02,0.05,N/a,N/a,N/a,N/a,23.1,0.1,0.00,20.6,1409,85.5,21053,91.3,89.1,54.3,18,118,18,5,102,50,1.71,1,0.03,102,60,85,34,33,8,25,34,1976,158,779,903,318,27,47,55.3,36.2,1086,2680,37,29,3,23,16,1190,51,37,22,3,20,141,47,28,62.7,€43M
Nélson Semedo,POR,Wolves,DF,31-167,30,29,"2,576",0,4,7,0,0.8,2.7,61,70,107,0.0,0.14,0.03,0.09,N/a,N/a,N/a,N/a,40.0,0.21,0.00,24.2,962,80.1,14666,91.1,82.8,47.0,21,63,25,11,70,51,1.78,6,0.21,55,31,49,21,27,10,17,22,1522,113,433,695,412,23,62,45.2,41.9,780,2309,61,36,9,37,19,873,107,43,27,3,57,116,27,40,40.3,€8.4M
Ola Aina,NGA,Nott'ham Forest,DF,28-206,31,31,"2,643",2,1,2,0,0.6,1.0,56,95,55,0.07,0.03,0.02,0.03,N/a,N/a,N/a,N/a,22.2,0.07,0.22,24.8,866,73.2,13394,88.2,73.3,36.5,13,78,18,8,95,55,1.87,3,0.1,55,41,62,26,32,12,20,31,1509,143,555,627,353,21,65,46.2,36.9,655,2437,56,37,10,40,22,718,55,21,33,2,46,166,12,18,40.0,€18.8M
Oliver Skipp,ENG,Leicester City,MF,24-228,20,7,907,0,0,7,0,0.2,0.3,15,29,18,0.0,0.0,0.02,0.03,N/a,N/a,N/a,N/a,25.0,0.1,0.00,21.0,352,84.6,5339,87.8,93.1,62.1,9,28,4,0,29,14,1.39,0,0.0,17,4,14,6,15,3,12,9,503,23,111,316,80,7,11,54.5,45.5,295,576,15,7,3,11,5,350,18,17,13,0,4,37,10,5,66.7,€17M
Ollie Watkins,ENG,Aston Villa,FW,29-123,34,27,"2,263",15,7,2,0,14.5,2.9,50,28,143,0.6,0.28,0.58,0.12,N/a,N/a,N/a,N/a,42.1,1.27,0.17,12.2,277,73.7,3489,78.8,81.1,75.0,22,11,11,0,28,50,1.99,11,0.44,9,6,11,8,11,3,8,7,620,17,46,223,360,153,38,23.7,65.8,363,1022,50,21,35,51,44,486,143,27,29,12,7,39,46,61,43.0,€61.4M
