Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage,Transfer Fee
Jean-Ricner Bellegarde,FRA,Wolves,"MF,FW",26-309,31,18,"1,486",2,6,3,0,1.3,3.6,47,36,81,0.12,0.36,0.08,0.22,N/a,N/a,N/a,N/a,25.0,0.3,0.10,21.7,403,79.2,6227,89.4,80.9,57.7,26,27,15,7,36,53,3.21,10,0.61,33,19,18,6,18,3,15,10,724,23,126,328,286,41,58,22.4,53.4,446,1375,47,34,10,36,23,500,81,29,39,1,38,55,8,18,30.8,€21.3M
Jefferson Lerma,COL,Crystal Palace,"MF,DF",30-189,29,23,"2,030",0,1,8,0,1.0,1.5,11,86,24,0.0,0.04,0.04,0.06,N/a,N/a,N/a,N/a,29.2,0.31,0.00,19.4,775,75.5,13637,86.8,81.3,46.7,9,83,17,2,86,42,1.86,3,0.13,30,15,33,16,32,15,17,36,1269,95,403,653,223,26,12,50.0,33.3,596,1004,11,10,0,14,15,745,24,34,35,0,11,139,39,38,50.6,€13.6M
Jens Cajuste,SWE,Ipswich Town,MF,25-265,26,23,"1,774",1,0,2,0,0.5,0.6,23,46,16,0.05,0.0,0.02,0.03,N/a,N/a,N/a,N/a,10.0,0.05,0.10,21.3,572,82.4,9440,88.8,85.7,50.0,11,45,5,1,46,30,1.52,1,0.05,39,19,47,28,24,9,15,25,904,59,261,475,182,11,45,53.3,33.3,420,1175,23,21,3,21,14,521,16,21,21,0,9,98,12,20,37.5,€15.5M
Jesper Lindstrøm,DEN,Everton,FW,25-062,25,15,"1,239",0,1,2,0,2.1,2.0,30,25,81,0.0,0.07,0.15,0.15,N/a,N/a,N/a,N/a,35.7,0.73,0.00,21.0,297,69.4,4593,86.2,65.7,44.6,19,18,12,7,25,46,3.35,1,0.07,45,25,55,36,15,3,12,12,625,22,127,206,303,40,43,18.6,72.1,302,780,30,19,7,31,24,347,81,15,10,1,71,70,6,12,33.3,€24.4M
Joachim Andersen,DEN,Fulham,DF,28-336,25,25,"2,223",0,0,5,1,0.9,0.3,13,103,2,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,25.0,0.16,0.00,15.7,1441,82.9,31915,91.3,93.6,55.8,3,169,6,3,103,30,1.22,2,0.08,24,17,20,7,31,25,6,30,2023,285,1061,885,89,19,6,66.7,0.0,1179,2869,13,12,1,5,3,1398,2,15,17,0,10,104,62,35,63.9,€31.4M
Joe Aribo,NGA,Southampton,"MF,DF",28-285,30,20,"1,909",3,0,1,0,2.7,1.6,35,71,64,0.14,0.0,0.13,0.07,N/a,N/a,N/a,N/a,41.2,0.33,0.18,14.0,878,88.5,13041,91.3,90.9,68.9,16,50,4,1,71,37,1.75,1,0.05,44,30,34,17,24,9,15,20,1203,46,288,632,294,44,46,39.1,47.8,708,1923,35,28,12,25,16,879,64,20,28,1,10,110,25,21,54.3,€6.9M
Joe Willock,ENG,Newcastle Utd,"MF,FW",25-255,29,10,953,0,2,2,0,1.5,1.9,34,35,76,0.0,0.19,0.14,0.18,N/a,N/a,N/a,N/a,18.8,0.28,0.00,15.7,262,81.9,3708,88.6,86.0,42.1,21,23,8,0,35,41,3.88,4,0.38,25,14,28,10,22,5,17,5,472,12,70,198,212,47,32,34.4,46.9,282,892,34,23,12,33,22,327,76,20,12,3,16,35,5,13,27.8,€35.8M
Joelinton,BRA,Newcastle Utd,"MF,FW",28-261,29,29,"2,393",4,3,10,0,3.9,2.5,40,116,110,0.15,0.11,0.15,0.09,N/a,N/a,N/a,N/a,28.9,0.49,0.09,14.0,863,82.7,12199,87.7,86.6,60.0,23,80,17,2,116,61,2.29,9,0.34,57,35,44,19,37,7,30,23,1360,67,256,670,448,83,46,32.6,60.9,729,1786,40,26,9,39,53,934,110,58,35,7,16,149,59,46,56.2,€47.5M
John McGinn,SCO,Aston Villa,"MF,FW",30-196,30,24,"1,992",1,3,7,0,2.9,3.4,30,90,70,0.05,0.14,0.13,0.15,N/a,N/a,N/a,N/a,19.2,0.23,0.04,16.2,635,82.8,10675,91.6,86.5,59.8,27,60,27,7,90,66,2.98,6,0.27,31,22,26,15,20,2,18,14,965,27,154,514,307,52,43,39.5,27.9,530,1142,30,16,6,33,25,677,70,43,63,3,50,92,15,10,60.0,€22.5M
Jordan Ayew,GHA,Leicester City,"FW,MF",33-233,26,15,"1,356",4,0,5,0,2.9,0.8,42,33,75,0.27,0.0,0.19,0.06,N/a,N/a,N/a,N/a,26.9,0.46,0.12,18.4,334,72.5,4951,86.3,73.1,39.2,13,21,12,7,33,32,2.12,1,0.07,24,13,19,13,15,0,15,12,677,18,91,341,267,49,56,39.3,50.0,410,1261,42,30,9,51,32,454,75,28,45,5,52,84,33,54,37.9,€4.2M
Jordan Pickford,ENG,Everton,GK,31-056,34,34,"3,060",0,1,7,0,0.0,0.4,0,0,0,0.0,0.03,0.0,0.01,1.21,71.5,29.4,100.0,N/a,0.0,N/a,N/a,939,66.2,29916,99.3,98.3,46.5,2,66,8,0,0,12,0.35,2,0.06,1,0,2,1,0,0,0,1,1518,989,1451,68,0,0,0,N/a,N/a,861,3099,0,0,0,2,0,756,0,0,6,0,0,31,4,1,80.0,€22.6M
Joshua Zirkzee,NED,Manchester Utd,"FW,MF",23-345,32,14,"1,402",3,1,2,0,4.8,1.5,14,44,69,0.19,0.06,0.31,0.1,N/a,N/a,N/a,N/a,39.3,0.71,0.11,13.1,292,71.2,3600,78.1,74.4,50.0,12,26,6,0,44,31,1.99,3,0.19,14,8,10,5,15,4,11,6,587,16,71,303,219,56,35,31.4,68.6,327,523,14,21,4,41,30,418,69,9,13,3,4,57,21,54,28.0,€43.7M
José Sá,POR,Wolves,GK,32-105,26,26,"2,340",0,0,2,0,0.0,0.1,0,2,0,0.0,0.0,0.0,0.01,1.69,62.3,26.9,33.3,N/a,0.0,N/a,N/a,516,63.5,13520,99.0,97.3,30.4,2,17,1,0,2,4,0.15,0,0.0,2,2,2,0,0,0,0,0,870,690,862,9,0,0,7,100.0,0.0,537,2083,0,0,0,1,0,426,0,4,8,0,0,29,8,0,100.0,€8.5M
João Gomes,BRA,Wolves,MF,24-079,32,32,"2,691",3,1,10,1,2.7,1.1,53,146,66,0.1,0.03,0.09,0.04,N/a,N/a,N/a,N/a,21.2,0.23,0.09,18.1,1233,85.0,17654,90.9,85.8,61.0,21,106,22,1,146,61,2.04,3,0.1,99,58,97,59,39,3,36,25,1789,55,380,987,448,41,56,46.4,42.9,935,2578,53,50,6,36,49,1200,66,65,39,1,27,174,9,24,27.3,€51.1M
João Pedro,BRA,Brighton,"FW,MF",23-218,27,23,"1,948",10,6,4,1,8.9,5.0,66,78,128,0.46,0.28,0.41,0.23,N/a,N/a,N/a,N/a,35.7,0.69,0.12,17.2,482,72.9,6847,78.7,75.1,65.9,30,42,36,5,78,72,3.32,9,0.42,16,12,11,7,12,0,12,9,940,12,60,387,508,122,86,33.7,54.7,616,1821,66,39,30,72,38,732,128,26,46,2,22,59,41,43,48.8,€61.3M
Joël Veltman,NED,Brighton,DF,33-107,19,19,"1,643",0,0,4,0,0.5,0.5,29,79,32,0.0,0.0,0.03,0.03,N/a,N/a,N/a,N/a,16.7,0.05,0.00,19.7,716,80.0,12082,89.8,80.6,63.3,6,61,8,5,79,22,1.21,1,0.05,42,28,51,21,22,7,15,18,1097,64,327,540,240,10,15,26.7,33.3,524,1414,29,22,3,19,7,598,32,26,42,0,23,67,21,18,53.8,€5.7M
Justin Kluivert,NED,Bournemouth,"MF,FW",25-362,30,26,"2,097",12,6,8,0,9.9,4.8,72,95,146,0.52,0.26,0.42,0.21,N/a,N/a,N/a,N/a,43.1,0.94,0.12,20.3,516,74.2,7951,83.4,76.1,54.4,45,40,32,6,95,94,4.03,11,0.47,21,9,20,16,24,0,24,13,969,23,93,327,569,115,82,40.2,47.6,576,2092,72,50,34,49,24,631,146,40,29,5,78,71,7,25,21.9,€44.8M
Jørgen Strand Larsen,NOR,Wolves,FW,25-085,32,29,"2,463",13,2,4,0,10.0,2.4,16,28,106,0.48,0.07,0.37,0.09,N/a,N/a,N/a,N/a,60.4,1.17,0.25,11.4,272,63.1,3547,70.5,63.2,70.0,19,18,4,1,28,40,1.46,5,0.18,9,6,27,23,18,4,14,5,695,34,83,329,284,104,17,41.2,58.8,328,446,16,13,9,88,32,507,106,46,18,14,6,42,66,96,40.7,€30.8M
Kai Havertz,GER,Arsenal,"FW,MF",25-325,21,21,"1,839",9,3,4,0,9.4,2.4,34,59,110,0.44,0.15,0.46,0.12,N/a,N/a,N/a,N/a,40.4,1.03,0.17,11.7,401,78.5,4833,84.1,82.5,45.5,16,26,8,1,59,41,2.01,3,0.15,16,9,15,11,22,4,18,6,768,31,88,282,403,103,38,23.7,63.2,411,922,34,23,18,42,22,575,110,36,21,14,11,39,62,73,45.9,€70.5M
Kalvin Phillips,ENG,Ipswich Town,MF,29-151,18,14,"1,214",0,0,6,1,0.4,0.2,4,49,4,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,20.0,0.15,0.00,24.2,426,79.3,8392,82.9,86.6,62.1,5,48,6,1,49,17,1.26,3,0.22,34,19,38,23,35,6,29,19,722,60,220,388,118,4,12,41.7,50.0,302,541,4,5,0,24,10,383,4,28,19,0,18,68,7,21,25.0,€17.2M
Kamaldeen Sulemana,GHA,Southampton,"FW,MF",23-076,22,13,"1,122",1,1,1,0,1.3,0.7,56,25,72,0.08,0.08,0.11,0.06,N/a,N/a,N/a,N/a,32.0,0.64,0.04,18.5,235,79.1,3417,89.7,81.6,42.3,9,6,11,6,25,27,2.17,3,0.24,16,14,13,5,9,0,9,6,483,13,64,178,259,48,91,36.3,54.9,313,1369,56,34,23,37,22,338,72,18,10,2,24,51,8,20,28.6,€18.5M
Kaoru Mitoma,JPN,Brighton,"FW,MF",27-347,33,28,"2,521",9,3,1,0,8.8,4.4,138,82,277,0.32,0.11,0.31,0.16,N/a,N/a,N/a,N/a,46.3,0.89,0.17,13.9,701,75.3,9130,86.9,70.5,44.0,35,34,32,8,82,83,2.96,8,0.29,43,26,46,28,46,3,43,13,1300,15,149,445,734,156,127,38.6,57.5,786,3663,138,76,55,49,22,911,277,39,23,5,72,92,24,27,47.1,€50.6M
Keane Lewis-Potter,ENG,Brentford,"DF,FW",24-069,34,32,"2,759",1,3,6,0,2.6,3.0,92,88,143,0.03,0.1,0.08,0.1,N/a,N/a,N/a,N/a,51.9,0.46,0.04,20.5,868,77.2,14309,89.4,79.4,49.4,22,56,40,14,88,65,2.12,8,0.26,44,26,43,17,24,9,15,19,1429,94,436,549,463,69,95,41.1,49.5,756,2937,92,62,34,42,19,844,143,16,28,4,68,132,26,33,44.1,€27.1M
Kenny Tete,NED,Fulham,DF,29-205,18,17,"1,438",0,2,3,0,1.2,0.9,33,46,45,0.0,0.13,0.08,0.05,N/a,N/a,N/a,N/a,9.1,0.13,0.00,16.1,645,81.2,10261,91.7,80.0,60.2,7,56,7,5,46,30,1.88,3,0.19,49,34,32,12,20,6,14,28,997,57,320,407,278,32,19,42.1,31.6,520,1210,33,20,7,16,10,575,45,25,14,0,26,61,18,12,60.0,€14M
Kepa Arrizabalaga,ESP,Bournemouth,GK,30-211,27,27,"2,430",0,0,3,0,0.1,0.0,0,2,0,0.0,0.0,0.0,0.0,1.26,75.4,25.9,0.0,0.0,0.0,0.00,9.7,636,71.5,17590,98.0,98.2,46.9,1,9,0,0,2,4,0.15,0,0.0,1,0,1,1,1,0,1,0,945,695,918,26,1,1,1,100.0,0.0,534,1529,0,0,0,0,0,413,0,2,5,0,0,48,7,1,87.5,€12M
Kevin De Bruyne,BEL,Manchester City,"MF,FW",33-308,24,16,"1,455",3,7,2,0,3.4,7.6,47,128,132,0.19,0.43,0.21,0.47,N/a,N/a,N/a,N/a,27.1,0.8,0.06,21.9,756,75.6,12912,85.1,76.7,58.1,51,75,48,10,128,101,6.24,11,0.68,15,8,21,17,8,0,8,7,1153,10,70,391,702,66,30,40.0,46.7,677,1825,47,43,18,24,25,862,132,14,16,5,115,53,4,14,22.2,€20.1M
Kevin Schade,GER,Brentford,FW,23-156,34,22,"1,998",8,2,3,0,6.7,3.4,56,32,144,0.36,0.09,0.3,0.15,N/a,N/a,N/a,N/a,43.5,0.9,0.17,11.9,287,58.9,4447,69.0,60.8,41.5,20,29,9,3,32,49,2.21,9,0.41,34,23,20,8,16,2,14,5,781,37,128,217,451,124,79,35.4,57.0,395,1260,56,26,34,52,34,484,144,19,33,13,36,76,76,63,54.7,€29.7M
Kieran Trippier,ENG,Newcastle Utd,DF,34-225,23,13,"1,192",0,3,1,0,0.1,1.3,25,106,52,0.0,0.23,0.01,0.1,N/a,N/a,N/a,N/a,0.0,0.0,0.00,22.2,942,82.1,16029,94.1,85.4,47.8,19,65,17,2,106,49,3.7,6,0.45,36,19,34,13,9,3,6,11,1267,45,354,550,371,12,7,57.1,42.9,562,1139,25,13,4,11,7,780,52,16,10,2,74,61,19,14,57.6,€5.1M
Kobbie Mainoo,ENG,Manchester Utd,MF,20-013,21,17,"1,416",0,0,5,0,0.6,1.6,21,56,38,0.0,0.0,0.04,0.1,N/a,N/a,N/a,N/a,15.4,0.13,0.00,20.8,627,86.1,8304,91.9,87.7,71.8,14,45,9,0,56,29,1.84,1,0.06,39,24,34,13,16,2,14,19,924,19,175,523,235,32,46,50.0,45.7,568,1089,21,14,10,30,32,656,38,26,19,2,4,77,18,27,40.0,€66M
Konstantinos Mavropanos,GRE,West Ham,DF,27-142,30,20,"1,944",0,0,6,1,1.5,0.5,16,60,2,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,27.8,0.23,0.00,14.8,1010,85.9,19926,91.2,92.3,58.4,5,60,4,1,60,16,0.74,0,0.0,32,22,25,11,23,17,6,38,1428,221,743,631,62,24,17,52.9,29.4,792,2123,16,10,1,12,0,934,2,17,14,3,2,67,56,24,70.0,€19.1M
Kristoffer Ajer,NOR,Brentford,DF,27-015,21,17,"1,395",0,0,5,0,0.8,1.2,27,52,42,0.0,0.0,0.05,0.08,N/a,N/a,N/a,N/a,37.5,0.19,0.00,10.2,483,78.2,7530,86.6,79.7,49.1,8,41,7,4,52,18,1.16,2,0.13,25,17,27,12,17,4,13,12,766,52,257,357,158,35,16,43.8,50.0,377,1171,27,11,2,15,12,478,42,12,6,1,14,42,27,23,54.0,€21.5M
Kyle Walker-Peters,ENG,Southampton,DF,28-019,32,32,"2,828",0,2,5,0,0.8,2.7,112,134,139,0.0,0.06,0.03,0.09,N/a,N/a,N/a,N/a,30.0,0.19,0.00,18.3,1450,88.0,21806,93.8,89.7,60.4,23,117,29,4,134,62,1.97,7,0.22,43,28,34,18,25,14,11,18,1970,149,603,854,529,58,90,41.1,43.3,1228,4264,112,69,23,32,38,1391,139,28,49,2,51,130,11,21,34.4,€16.6M
Leandro Trossard,BEL,Arsenal,FW,30-149,34,25,"2,264",8,5,4,1,6.6,5.1,71,91,202,0.32,0.2,0.26,0.2,N/a,N/a,N/a,N/a,30.3,0.8,0.12,16.0,616,73.6,10098,84.8,76.0,51.2,36,40,41,9,91,78,3.1,6,0.24,25,16,31,22,28,0,28,9,1118,15,117,350,667,137,70,41.4,44.3,710,1879,71,47,27,53,42,836,202,24,41,5,78,90,6,21,22.2,€31.8M
Leif Davis,ENG,Ipswich Town,DF,25-110,31,30,"2,563",1,2,5,1,0.9,4.3,48,55,117,0.04,0.07,0.03,0.15,N/a,N/a,N/a,N/a,14.3,0.07,0.07,20.4,854,71.5,14708,86.0,77.4,37.3,54,30,26,11,55,85,2.98,4,0.14,45,26,46,17,24,8,16,25,1459,115,517,484,477,36,37,35.1,45.9,659,1940,48,27,10,36,14,770,117,25,30,3,148,111,33,22,60.0,€28.2M
Leny Yoro,FRA,Manchester Utd,DF,19-170,19,11,"1,069",0,0,5,0,0.7,0.0,19,48,4,0.0,0.0,0.06,0.0,N/a,N/a,N/a,N/a,20.0,0.08,0.00,8.6,642,92.2,10301,95.5,93.9,65.0,1,43,4,1,48,7,0.59,0,0.0,25,10,17,6,5,3,2,17,814,80,378,377,61,13,3,33.3,66.7,553,1557,19,11,1,3,2,588,4,9,2,1,1,41,16,15,51.6,€71M
Leon Bailey,JAM,Aston Villa,"FW,MF",27-266,23,14,"1,138",1,2,3,0,1.7,1.5,57,35,121,0.08,0.16,0.14,0.12,N/a,N/a,N/a,N/a,21.4,0.47,0.04,17.3,273,70.7,4275,81.4,81.1,47.4,16,16,20,2,35,38,3.01,4,0.32,6,4,10,8,6,0,6,3,539,18,76,155,318,69,57,38.6,42.1,344,1334,57,22,33,35,25,386,121,12,18,3,34,59,6,9,40.0,€39.2M
Lesley Ugochukwu,FRA,Southampton,MF,21-037,23,15,"1,447",1,1,5,0,0.8,1.0,27,48,20,0.06,0.06,0.05,0.06,N/a,N/a,N/a,N/a,11.1,0.06,0.11,18.4,536,84.5,8330,87.5,91.9,57.1,14,50,6,1,48,23,1.43,1,0.06,46,22,32,15,25,9,16,12,793,45,191,446,162,23,26,69.2,26.9,431,1122,27,14,6,12,10,538,20,26,14,0,6,59,18,17,51.4,€27M
Levi Colwill,ENG,Chelsea,DF,22-065,31,31,"2,789",1,1,8,0,1.3,1.1,13,124,11,0.03,0.03,0.04,0.04,N/a,N/a,N/a,N/a,18.8,0.1,0.06,9.9,2167,89.6,39487,92.7,95.3,57.7,14,144,7,3,124,37,1.19,3,0.1,40,28,25,9,34,24,10,31,2669,330,1241,1310,128,35,10,60.0,40.0,1526,3857,13,11,1,13,8,1964,11,42,18,4,13,108,76,51,59.8,€56.6M
Lewis Cook,ENG,Bournemouth,"MF,DF",28-088,33,29,"2,726",1,3,8,0,0.9,4.1,33,152,48,0.03,0.1,0.03,0.14,N/a,N/a,N/a,N/a,28.6,0.13,0.07,23.4,1131,76.5,19703,84.6,84.8,45.4,47,149,25,10,152,86,2.84,5,0.17,77,41,65,30,28,10,18,40,1776,82,416,930,449,19,17,58.8,41.2,779,2102,33,28,4,29,16,888,48,46,10,3,126,178,40,34,54.1,€19.3M
Lewis Dunk,ENG,Brighton,DF,33-162,24,22,"1,993",0,0,5,0,0.8,0.5,20,142,3,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,25.0,0.14,0.00,12.1,1724,90.9,32037,96.2,95.1,62.5,6,154,6,0,142,19,0.86,3,0.14,17,10,19,8,26,17,9,12,2062,245,966,994,112,21,1,0.0,100.0,1302,3247,20,18,0,8,3,1509,3,7,10,2,5,102,49,30,62.0,€7.4M
Lewis Hall,ENG,Newcastle Utd,DF,20-236,27,24,"2,189",0,4,3,0,0.4,4.3,41,123,80,0.0,0.16,0.02,0.18,N/a,N/a,N/a,N/a,9.1,0.04,0.00,18.8,1300,81.7,21999,91.3,85.1,51.5,34,114,17,5,123,63,2.59,6,0.25,58,41,74,34,33,18,15,18,1820,95,623,804,414,47,21,52.4,33.3,950,2358,41,22,13,33,20,1094,80,9,21,1,110,119,30,31,49.2,€34.5M
Liam Delap,ENG,Ipswich Town,FW,22-083,33,30,"2,424",12,2,9,0,9.1,1.9,59,30,104,0.45,0.07,0.34,0.07,N/a,N/a,N/a,N/a,43.5,1.0,0.16,15.9,208,61.0,2873,70.3,63.1,39.1,20,16,6,0,30,60,2.23,7,0.26,10,7,14,12,8,0,8,2,647,29,78,270,320,87,82,46.3,42.7,424,1511,59,45,28,96,55,507,104,65,48,13,5,64,52,67,43.7,€37M
Lisandro Martínez,ARG,Manchester Utd,DF,27-104,20,20,"1,751",2,1,7,0,1.3,1.1,23,117,7,0.1,0.05,0.07,0.06,N/a,N/a,N/a,N/a,35.3,0.31,0.12,15.9,1200,89.4,20292,94.2,93.0,55.2,9,91,18,2,117,26,1.34,2,0.1,40,24,36,15,22,8,14,32,1524,156,713,697,125,18,7,85.7,14.3,1017,3129,23,23,2,1,3,1069,7,22,7,0,9,81,16,13,55.2,€49.2M
Lucas Bergvall,SWE,Tottenham,MF,19-089,27,11,"1,212",0,1,3,0,0.7,0.6,33,49,31,0.0,0.07,0.05,0.04,N/a,N/a,N/a,N/a,16.7,0.15,0.00,19.9,629,87.4,10567,91.9,89.8,74.6,11,53,7,3,49,22,1.63,4,0.3,39,19,32,15,18,8,10,24,885,36,188,478,232,22,45,46.7,44.4,531,1634,33,21,4,20,19,586,31,20,17,0,21,73,9,8,52.9,€32.6M
Lucas Digne,FRA,Aston Villa,DF,31-286,30,27,"2,241",0,4,4,0,0.8,4.4,23,54,140,0.0,0.16,0.03,0.17,N/a,N/a,N/a,N/a,23.1,0.12,0.00,22.7,924,75.0,14998,88.2,78.6,39.7,35,43,29,18,54,63,2.53,5,0.2,62,36,62,20,23,4,19,25,1473,90,510,449,524,28,19,47.4,47.4,669,1319,23,14,4,17,15,804,140,20,14,7,138,98,34,26,56.7,€13.6M
Lucas Paquetá,BRA,West Ham,"MF,FW",27-248,30,26,"2,257",4,0,8,0,5.2,3.0,20,140,82,0.16,0.0,0.21,0.12,N/a,N/a,N/a,N/a,7.9,0.12,0.05,19.6,1047,77.4,17297,84.0,79.3,63.5,35,121,41,4,140,78,3.11,6,0.24,63,35,49,25,27,4,23,17,1672,58,338,919,428,56,42,40.5,47.6,862,1255,20,31,2,51,50,1181,82,49,57,6,28,140,47,57,45.2,€71.2M
Luis Díaz,COL,Liverpool,FW,28-109,33,26,"2,225",12,5,2,0,10.0,4.9,103,103,269,0.49,0.2,0.4,0.2,N/a,N/a,N/a,N/a,41.5,1.09,0.18,13.5,697,84.3,11124,88.6,86.0,82.4,54,45,43,6,103,116,4.69,16,0.65,33,21,34,21,18,0,18,7,1109,15,78,382,668,155,111,45.9,43.2,733,2803,103,53,55,51,43,878,269,48,30,10,30,98,12,33,26.7,€71M
Luke Woolfenden,ENG,Ipswich Town,DF,26-193,14,11,"1,097",0,0,2,0,0.0,0.0,7,15,0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,12.9,450,87.7,8278,96.6,93.4,52.2,0,27,0,0,15,2,0.16,0,0.0,9,6,5,3,21,14,7,18,638,139,365,264,9,3,0,N/a,N/a,341,1165,7,3,0,4,0,399,0,5,2,1,0,35,15,12,55.6,€2M
Mads Hermansen,DEN,Leicester City,GK,24-295,27,27,"2,385",0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.19,64.5,3.7,25.0,N/a,0.0,N/a,N/a,654,61.0,17066,97.4,94.8,32.7,0,20,1,0,1,3,0.11,0,0.0,1,1,1,0,1,0,1,0,1147,831,1106,43,0,0,1,100.0,0.0,734,1904,0,0,0,1,0,625,0,0,3,0,0,17,4,1,80.0,€19.8M
Malo Gusto,FRA,Chelsea,DF,21-348,28,19,"1,819",0,1,4,0,1.7,1.2,48,118,84,0.0,0.05,0.08,0.06,N/a,N/a,N/a,N/a,18.2,0.2,0.00,21.3,1168,86.4,19089,93.1,88.2,61.3,20,107,18,6,118,56,2.77,4,0.2,43,28,47,23,29,8,21,23,1553,57,375,752,438,42,15,26.7,66.7,861,2170,48,35,8,16,17,1047,84,20,18,2,51,114,8,15,34.8,€32.8M
Manuel Akanji,SUI,Manchester City,DF,29-287,22,20,"1,711",0,0,3,0,0.7,0.4,38,135,6,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,10.0,0.05,0.00,16.3,1395,93.9,22867,95.9,95.5,73.9,9,150,11,2,135,34,1.79,2,0.11,15,10,12,5,11,8,3,7,1598,108,472,776,352,11,2,100.0,0.0,1044,3286,38,52,0,4,5,1264,6,16,9,0,11,86,24,29,45.3,€42.8M
Marc Cucurella,ESP,Chelsea,DF,26-284,32,29,"2,628",4,1,10,1,2.6,1.9,30,104,108,0.14,0.03,0.09,0.06,N/a,N/a,N/a,N/a,40.9,0.31,0.18,16.5,1529,88.0,24117,93.9,90.0,57.4,18,108,12,3,104,46,1.58,5,0.17,58,38,50,25,40,13,27,23,2014,100,603,933,486,72,13,30.8,53.8,864,2105,30,17,2,26,6,1259,108,33,32,3,29,110,29,51,36.3,€39.4M
Marc Guéhi,ENG,Crystal Palace,DF,24-293,32,32,"2,879",3,2,9,1,1.9,1.2,22,126,8,0.09,0.06,0.06,0.04,N/a,N/a,N/a,N/a,50.0,0.22,0.21,10.3,1377,83.3,26335,91.1,88.8,55.3,12,127,11,3,126,38,1.19,5,0.16,56,31,45,15,53,22,31,25,1994,292,987,881,137,31,14,78.6,14.3,1065,2804,22,17,1,16,16,1243,8,22,26,1,13,135,66,50,56.9,€54.2M
Marcos Senesi,ARG,Bournemouth,DF,27-357,15,12,"1,014",0,0,5,0,0.8,0.2,12,51,5,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,6.0,493,76.6,10211,88.0,85.9,49.7,3,73,12,3,51,16,1.42,1,0.09,35,21,30,16,15,7,8,11,783,67,349,376,67,12,9,55.6,44.4,483,1465,12,14,0,6,5,493,5,19,7,0,10,67,23,27,46.0,€20.4M
Marcus Rashford,ENG,Manchester Utd,"FW,MF",27-183,15,12,978,4,1,2,0,1.7,2.1,20,21,79,0.37,0.09,0.16,0.19,N/a,N/a,N/a,N/a,56.3,0.83,0.25,16.4,253,73.8,3508,83.6,65.9,50.0,15,13,16,8,21,29,2.67,1,0.09,7,4,9,6,8,0,8,4,440,3,35,189,222,34,39,23.1,66.7,293,728,20,19,12,14,6,341,79,8,7,7,27,24,5,7,41.7,€53.6M
Marcus Tavernier,ENG,Bournemouth,"FW,MF",26-041,25,16,"1,580",3,5,5,0,5.2,2.8,39,99,103,0.17,0.28,0.3,0.16,N/a,N/a,N/a,N/a,31.3,0.85,0.06,20.5,530,72.4,8961,85.9,78.2,43.6,36,61,29,9,99,82,4.67,10,0.57,39,23,25,16,15,3,12,4,956,18,108,358,511,49,52,42.3,51.9,540,1569,39,37,7,36,43,612,103,25,20,4,89,96,24,31,43.6,€24.4M
Mark Flekken,NED,Brentford,GK,31-323,33,33,"2,915",0,2,1,0,0.0,0.6,0,0,0,0.0,0.06,0.0,0.02,1.48,74.2,18.2,0.0,N/a,0.0,N/a,N/a,1144,73.3,33942,97.9,97.5,50.2,3,45,2,0,0,8,0.25,2,0.06,4,4,9,6,2,0,2,0,1661,1304,1614,52,0,0,1,100.0,0.0,1011,2907,0,0,0,3,0,920,0,0,3,0,0,36,4,0,100.0,€13.6M
